25.01.2023 20:23:02	Менеджер	добавил	нового клиента
25.01.2023 20:25:01	Консультант	изменил	номер телефона
11.02.2023 14:05:16	Консультант	изменил	номер телефона
11.02.2023 17:44:51	Менеджер	изменил	фамилию
11.02.2023 17:44:54	Менеджер	изменил	фамилию
11.02.2023 19:35:48	Менеджер	изменил	отчество
11.02.2023 19:35:52	Менеджер	изменил	отчество
11.02.2023 19:39:49	Консультант	изменил	номер телефона
11.02.2023 19:39:53	Консультант	изменил	номер телефона
11.02.2023 19:40:03	Менеджер	изменил	фамилию
11.02.2023 19:40:06	Менеджер	изменил	фамилию
19.02.2023 20:58:34	Консультант	изменил	номер телефона
19.02.2023 20:58:43	Консультант	изменил	номер телефона
